timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1639410062514,7,Request,200,OK,TG 1-3,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,2,0,0
1639410062515,7,Request,200,OK,TG 1-1,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,3,0,0
1639410062514,11,Request,200,OK,TG 1-4,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,8,0,0
1639410062569,3,Request,200,OK,TG 1-8,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410062675,3,Request,200,OK,TG 1-5,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410062770,3,Request,200,OK,TG 1-6,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410062768,6,Request,200,OK,TG 1-7,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410062847,6,Request,200,OK,TG 1-9,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,2,0,0
1639410062874,8,Request,200,OK,TG 1-4,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410062875,8,Request,200,OK,TG 1-1,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410062875,10,Request,200,OK,TG 1-3,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,4,0,0
1639410062875,11,Request,200,OK,TG 1-2,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,3,0,0
1639410062930,3,Request,200,OK,TG 1-8,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410063035,3,Request,200,OK,TG 1-5,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410063128,5,Request,200,OK,TG 1-7,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,2,0,0
1639410063130,4,Request,200,OK,TG 1-6,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,2,0,0
1639410063207,3,Request,200,OK,TG 1-9,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410063234,5,Request,200,OK,TG 1-4,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410063235,6,Request,200,OK,TG 1-3,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410063235,7,Request,200,OK,TG 1-1,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,4,0,0
1639410063235,9,Request,200,OK,TG 1-2,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,7,0,0
1639410063290,4,Request,200,OK,TG 1-8,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410063328,3,Request,200,OK,TG 1-10,text,true,,102714,124,10,10,http://192.168.56.103/100k.txt,2,0,1
1639410063396,3,Request,200,OK,TG 1-5,text,true,,102713,124,10,10,http://192.168.56.103/100k.txt,1,0,0
1639410063487,4,Request,200,OK,TG 1-7,text,true,,102713,124,10,10,http://192.168.56.103/100k.txt,1,0,0
1639410063490,3,Request,200,OK,TG 1-6,text,true,,102713,124,10,10,http://192.168.56.103/100k.txt,1,0,0
1639410063567,3,Request,200,OK,TG 1-9,text,true,,102713,124,10,10,http://192.168.56.103/100k.txt,1,0,0
